,spp,lon,lat
220,q_grandiflora,-48.667222,-17.776667
221,q_grandiflora,-43.616389,-19.354722
222,q_grandiflora,-67.25,-12.16666
223,q_grandiflora,-55.22,-9.62
224,q_grandiflora,-48.08,-5.83
225,q_grandiflora,-52.18875,-21.769583
226,q_grandiflora,-48.382778,-14.061111
227,q_grandiflora,-67.624444,-10.073611
228,q_grandiflora,-47.01,-9.28
229,q_grandiflora,-47.4042,-20.0983
230,q_grandiflora,-44.91,-5.52
231,q_grandiflora,-47.82,-2.08
232,q_grandiflora,-48.919319,-6.287361
233,q_grandiflora,-51.462222,-18.179167
234,q_grandiflora,-44.15,-6.639167
235,q_grandiflora,-71.41666,-11.83333
236,q_grandiflora,-68.7639444,-14.5820278
237,q_grandiflora,-40.88333,-2.93333
238,q_grandiflora,-48.2772,-18.9186
239,q_grandiflora,-64.435,-16.7261
240,q_grandiflora,-56.183333,-12.366667
241,q_grandiflora,-57.671683,-16.705139
242,q_grandiflora,-52.3166667,-10.0666667
243,q_grandiflora,-57.49,-17.99
244,q_grandiflora,-67.25,-13.08333
245,q_grandiflora,-42.966667,-16.6
246,q_grandiflora,-60.124444,-12.711111
247,q_grandiflora,-54.182222,-2.188889
248,q_grandiflora,-67.4,-9.9575
249,q_grandiflora,-52.333333,-24.030556
250,q_grandiflora,-61.659528,-8.437444
251,q_multiflora,-46.433333,-16.833333
252,q_multiflora,-48.966111,-15.385278
253,q_multiflora,-44.284556,-17.693611
254,q_multiflora,-48.051,-22.108
255,q_multiflora,-47.419444,-20.197222
256,q_multiflora,-60.9833333,-13.7666667
257,q_multiflora,-43.956194,-19.510139
258,q_multiflora,-51.8666667,-12.9
259,q_multiflora,-48.233,-13.583
260,q_multiflora,-45.838333,-20.935
261,q_multiflora,-51.086944,-18.135833
262,q_multiflora,-45.571472,-15.379556
263,q_multiflora,-48.310833,-10.413889
264,q_multiflora,-52.309306,-15.856833
265,q_multiflora,-50.817972,-11.842333
266,q_multiflora,-62.04166,-16.43416
267,q_multiflora,-67.25,-13.08333
268,q_multiflora,-58.2955,-16.367111
269,q_multiflora,-55.849722,-15.373333
270,q_multiflora,-53.1725,-13.026111
271,q_multiflora,-50.385278,-15.3975
272,q_multiflora,-46.918778,-23.230111
273,q_multiflora,-54.5,-18.266667
274,q_multiflora,-52.8731,-10.8339
275,q_multiflora,-64.435,-16.7261
276,q_multiflora,-59.02583,-17.96472
277,q_multiflora,-55.488333,-11.0025
278,q_multiflora,-58.1689,-23.2025
279,q_multiflora,-45.8869,-23.1794
280,q_multiflora,-49.18194,-10.44278
281,q_multiflora,-49.973889,-21.001389
282,q_multiflora,-49.246389,-20.543611
283,q_multiflora,-48.790277,-11.131944
284,q_multiflora,-59.88,-20.94
285,q_multiflora,-42.116667,-20.716667
286,q_multiflora,-41.90417,-20.52333
287,q_multiflora,-47.461111,-7.476667
288,q_multiflora,-56.583333,-14.6
289,q_multiflora,-44.683333,-13.390833
290,q_multiflora,-61.5,-17.5
291,q_multiflora,-61.4922222,-14.5316667
292,q_multiflora,-58.556389,-8.937778
293,q_multiflora,-55.733333,-20.366944
294,q_multiflora,-56.440555,-21.028611
295,q_multiflora,-54.466667,-10.416667
296,q_multiflora,-54.613611,-20.508889
297,q_multiflora,-40.111111,-13.951111
298,q_multiflora,-49.46333,-24.11306
299,q_multiflora,-64.66944,-12.47666
300,q_multiflora,-56,-10
301,q_multiflora,-52.450556,-22.150278
302,q_multiflora,-43.064722,-4.77
303,q_multiflora,-70.25,-12
304,q_multiflora,-65.25,-10.73
305,q_parviflora,-60.76916,-14.56138
306,q_parviflora,-44.628889,-14.935833
307,q_parviflora,-60.383333,-12.533333
308,q_parviflora,-57.65,-19.016667
309,q_parviflora,-47.211111,-11.593611
310,q_parviflora,-57.695,-17.745833
311,q_parviflora,-48.095833,-10.253611
312,q_parviflora,-46.597778,-10.596472
313,q_parviflora,-42.583,-14.233
314,q_parviflora,-51.76666,-12.81666
315,q_parviflora,-54.43333,-10.45
316,q_parviflora,-51.416667,-20.383333
317,q_parviflora,-61.5,-17.5
318,q_parviflora,-48.963228,-15.716564
319,q_parviflora,-43.651111,-19.418333
320,q_parviflora,-43.891989,-16.468808
321,q_parviflora,-47.826389,-14.1725
322,q_parviflora,-61.8166667,-8.3166667
323,q_parviflora,-51.557222,-16.789444
324,q_parviflora,-48.477778,-18.557778
325,q_parviflora,-63.17,-7.516667
326,q_parviflora,-52.17,-14.18
327,q_parviflora,-48,-23.566667
328,q_parviflora,-51.462222,-18.179167
329,q_parviflora,-44.15,-6.639167
330,q_parviflora,-45.05,-7.22
331,q_parviflora,-40.319986,-2.880008
332,q_parviflora,-43.882333,-19.50775
333,q_parviflora,-57.6181,-22.6192
334,q_parviflora,-53.533333,-16.933333
335,q_parviflora,-47.0047,-21.4678
336,q_parviflora,-42.737222,-11.125556
337,q_parviflora,-44.110833,-19.98
338,q_parviflora,-45.95,-12.116667
339,q_parviflora,-55.841111,-15.301389
340,q_parviflora,-42.554,-13.195
341,q_parviflora,-44.200972,-3.331722
342,q_parviflora,-39.354436,-7.383867
343,q_parviflora,-55.179444,-18.667222
344,q_parviflora,-42.0858,-3.945617
345,q_parviflora,-56.116667,-14.6
346,q_parviflora,-53.316667,-22.066667
347,q_parviflora,-38.963138,-6.714394
348,q_parviflora,-48.070556,-8.761667
349,q_parviflora,-51.905278,-6.388056
350,q_parviflora,-56.3,-22.116667
351,q_parviflora,-59.88,-20.94
352,q_parviflora,-43.524444,-6.833056
353,q_parviflora,-48.433333,-6.233333
354,q_parviflora,-55,-24.33333
355,q_parviflora,-57.268611,-11.661944
356,q_parviflora,-56.814917,-10.346917
357,q_parviflora,-50.5,-10.42
358,q_parviflora,-55.7,-11.7
359,q_parviflora,-55.03333,-8.71666
360,q_parviflora,-59.3,-9.983333
361,q_parviflora,-42.751431,-8.709808
362,q_parviflora,-37.716389,-12.014167
363,q_parviflora,-39.733333,-10.65
364,q_parviflora,-42.770278,-15.903889
365,q_parviflora,-40.082222,-13.596666
366,q_parviflora,-62.1091667,-16.4402777
367,q_parviflora,-50.3779,-22.5953
368,q_parviflora,-59.68,-18.33
369,q_parviflora,-67.25,-13.08333
370,s_convallariodora,-43.715556,-5.725611
371,s_convallariodora,-49.467778,-19.033333
372,s_convallariodora,-41.83333,-3.43333
373,s_convallariodora,-44.401111,-19.254722
374,s_convallariodora,-49.5117,-8.1362
375,s_convallariodora,-47.4333333,-20.1666667
376,s_convallariodora,-44.7225,-14.286944
377,s_convallariodora,-63.020833,-7.506111
378,s_convallariodora,-52.8731,-10.8339
379,s_convallariodora,-46.716667,-8.633333
380,s_convallariodora,-56.25,-14.616667
381,s_convallariodora,-49.528056,-12.738611
382,s_convallariodora,-42.146389,-7.017778
383,s_convallariodora,-48.433333,-6.233333
384,s_convallariodora,-45.065833,-7.0725
385,s_convallariodora,-56.583333,-14.616667
386,s_convallariodora,-48.055,-13.606667
387,s_convallariodora,-48.216667,-10
388,s_convallariodora,-52.333,-14.733
389,s_convallariodora,-59.95,-13.7333333
390,s_convallariodora,-54.95,-2.483333
391,s_convallariodora,-54.25,-1.91666
392,s_convallariodora,-60.1333333,-13.8333333
393,s_convallariodora,-48.56139,-18.1425
394,s_convallariodora,-61.5,-17.5
395,s_convallariodora,-47.5,-14.5
396,s_convallariodora,-56.3,-12.6
397,s_convallariodora,-48.3056,-0.4523
398,s_convallariodora,-51.87,-12.9
399,s_convallariodora,-51.660833,-17.149167
400,s_convallariodora,-56.0333333,2.1
401,s_convallariodora,-50.5,-10.416667
402,s_convallariodora,-56.606667,-16.256667
403,s_convallariodora,-46.071388,-11.438888
404,s_convallariodora,-64.67083,-12.47666
405,s_convallariodora,-64.435,-16.7261
406,s_convallariodora,-42.733333,-11.083333
407,s_convallariodora,-45.098889,-12.518889
408,s_convallariodora,-66.559722,-11.543056
409,s_convallariodora,-48.966667,-14.55
410,s_convallariodora,-42.6125,-11.618611
