"","spp","lat","lon","species_original"
"117","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"118","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"119","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"120","Tersina viridis",-16.36667,-49.5,"Tersina viridis viridis (Illiger, 1811)"
"121","Tersina viridis",-26.3,-48.833333,"Tersina viridis viridis (Illiger, 1811)"
"122","Tersina viridis",-26.3,-48.833333,"Tersina viridis viridis (Illiger, 1811)"
"123","Tersina viridis",-14.116667,-47.516667,"Tersina viridis viridis (Illiger, 1811)"
"124","Tersina viridis",-14.116667,-47.516667,"Tersina viridis viridis (Illiger, 1811)"
"125","Tersina viridis",-14.116667,-47.516667,"Tersina viridis viridis (Illiger, 1811)"
"126","Tersina viridis",-17.459607,-63.661437,"Tersina viridis viridis (Illiger, 1811)"
"127","Tersina viridis",-17.459607,-63.661437,"Tersina viridis viridis (Illiger, 1811)"
"128","Tersina viridis",-17.459607,-63.661437,"Tersina viridis viridis (Illiger, 1811)"
"129","Tersina viridis",-17.45,-63.6667,"Tersina viridis viridis (Illiger, 1811)"
"130","Tersina viridis",-17.45,-63.6667,"Tersina viridis viridis (Illiger, 1811)"
"131","Tersina viridis",-12.929131,-12.929131,"Tersina viridis viridis (Illiger, 1811)"
"132","Tersina viridis",-12.929131,-12.929131,"Tersina viridis viridis (Illiger, 1811)"
"133","Tersina viridis",-17.45,-63.6667,"Tersina viridis viridis (Illiger, 1811)"
"134","Tersina viridis",-17.45,-63.6667,"Tersina viridis viridis (Illiger, 1811)"
"135","Tersina viridis",-5.28333,-59.66667,"Tersina viridis viridis (Illiger, 1811)"
"136","Tersina viridis",-20.285247,-40.295661,"Tersina viridis viridis (Illiger, 1811)"
"137","Tersina viridis",-23.761309,-45.412502,"Tersina viridis viridis (Illiger, 1811)"
"138","Tersina viridis",-15.433333,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"139","Tersina viridis",-15.433333,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"140","Tersina viridis",-15.456327,-55.743599,"Tersina viridis viridis (Illiger, 1811)"
"141","Tersina viridis",-15.433333,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"142","Tersina viridis",-15.433333,-55.75,"Tersina viridis viridis (Illiger, 1811)"
"143","Tersina viridis",-10,-55,"Tersina viridis viridis (Illiger, 1811)"
"144","Tersina viridis",-18.8,-44.15,"Tersina viridis viridis (Illiger, 1811)"
"145","Tersina viridis",-8.25,-37.21667,"Tersina viridis viridis (Illiger, 1811)"
"146","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"147","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"148","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"149","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"150","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"151","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"152","Tersina viridis",-12.49964,-54.0332,"Tersina viridis viridis (Illiger, 1811)"
"153","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
"154","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
"155","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
"156","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
"157","Tersina viridis",-13.27567,-41.5166,"Tersina viridis viridis (Illiger, 1811)"
