species,lon,lat,n,
310,Miconia albicans,-42.9125,-22.48222,1
311,Miconia albicans,-42.043378,-22.428446,1
312,Miconia albicans,-56.783333,-22.138889,1
313,Miconia albicans,-54.316667,-21.483333,1
314,Miconia albicans,-52.277694,-21.643833,1
315,Miconia albicans,-51.906944,-21.504722,1
316,Miconia albicans,-50.3975,-21.826944,1
317,Miconia albicans,-49.5,-21.404722,1
318,Miconia albicans,-49,-22,1
319,Miconia albicans,-48.1827,-22.1006,1
320,Miconia albicans,-46.9666667,-22.3333333,1
321,Miconia albicans,-45.608333,-21.916667,1
322,Miconia albicans,-44.961944,-21.728333,1
323,Miconia albicans,-44.1,-21.78,1
324,Miconia albicans,-43.066667,-22.1,1
325,Miconia albicans,-41.945278,-21.884167,1
326,Miconia albicans,-56.697778,-20.772778,1
327,Miconia albicans,-55.620556,-20.436389,1
328,Miconia albicans,-54.389722,-20.504722,1
329,Miconia albicans,-53.256611,-20.455,1
330,Miconia albicans,-52.866667,-20.45,1
331,Miconia albicans,-52.133333,-20.916667,1
332,Miconia albicans,-50.348611,-20.926111,1
333,Miconia albicans,-49.926111,-20.921111,1
334,Miconia albicans,-48.540556,-20.885,1
335,Miconia albicans,-47.7294,-21.3403,1
336,Miconia albicans,-47.168,-21.281,1
337,Miconia albicans,-45.908333,-20.466667,1
338,Miconia albicans,-44.495217,-21.244983,1
339,Miconia albicans,-44.166389,-21.084719,1
340,Miconia albicans,-42.985222,-21.216722,1
341,Miconia albicans,-41.612222,-20.625833,1
342,Miconia albicans,-40.327778,-20.426944,1
343,Miconia albicans,-55.245555,-19.776944,1
344,Miconia albicans,-54.350556,-19.708889,1
345,Miconia albicans,-53.97,-19.5,1
346,Miconia albicans,-52.6525,-20.362778,1
347,Miconia albicans,-51.4189,-20.3672,1
348,Miconia albicans,-51.176167,-19.659333,1
349,Miconia albicans,-49.596111,-19.422778,1
350,Miconia albicans,-48.94056,-20.02472,1
351,Miconia albicans,-47.419444,-20.197222,1
352,Miconia albicans,-46.36556,-20.24556,1
353,Miconia albicans,-45.416667,-20.216667,1
354,Miconia albicans,-44.544167,-20.054167,1
355,Miconia albicans,-43.911944,-20.128333,1
356,Miconia albicans,-42.77667,-19.84306,1
357,Miconia albicans,-41.4,-19.98,1
358,Miconia albicans,-40.411111,-20.004167,1
359,Miconia albicans,-40.219167,-20.241389,1
360,Miconia albicans,-57.616667,-19.25,1
361,Miconia albicans,-55.416667,-18.416667,1
362,Miconia albicans,-55.105556,-19.299167,1
363,Miconia albicans,-54.025555,-18.681388,1
364,Miconia albicans,-52.573889,-18.428333,1
365,Miconia albicans,-51.995278,-18.439444,1
366,Miconia albicans,-49.503056,-19.039444,1
367,Miconia albicans,-48.304722,-18.611389,1
368,Miconia albicans,-48.2325,-18.913889,1
369,Miconia albicans,-46.916667,-18.558333,1
370,Miconia albicans,-45.44222,-18.78778,1
371,Miconia albicans,-44.40417,-19.27444,1
372,Miconia albicans,-43.4899,-18.469842,1
373,Miconia albicans,-39.964722,-19.2125,1
374,Miconia albicans,-63.68472,-17.45138,1
375,Miconia albicans,-63.23333,-17.56666,1
376,Miconia albicans,-61.5,-17.5,1
377,Miconia albicans,-59.5652778,-18.3252778,1
378,Miconia albicans,-57.5,-18.038611,1
379,Miconia albicans,-53.305278,-18.238055,1
380,Miconia albicans,-53.135722,-18.009167,1
381,Miconia albicans,-52.078611,-17.97,1
382,Miconia albicans,-51.195833,-18.065278,1
383,Miconia albicans,-49.4217,-17.6745,1
384,Miconia albicans,-48.533333,-17.733333,1
385,Miconia albicans,-48.135556,-18.011944,1
386,Miconia albicans,-46.1725,-17.7425,1
387,Miconia albicans,-44.25,-17.88,1
388,Miconia albicans,-43.633333,-18.116667,1
389,Miconia albicans,-41.559886,-17.855333,1
390,Miconia albicans,-39.664444,-18.067222,1
391,Miconia albicans,-64.435,-16.7261,1
392,Miconia albicans,-63.667,-17.383,1
393,Miconia albicans,-61.81333,-16.76861,1
394,Miconia albicans,-54.616667,-16.483333,1
395,Miconia albicans,-54,-16.783333,1
396,Miconia albicans,-52.666667,-16.45,1
397,Miconia albicans,-51.78,-17.2,1
398,Miconia albicans,-50.629167,-16.989722,1
399,Miconia albicans,-47.666667,-16.75,1
400,Miconia albicans,-47.093888,-17.073611,1
401,Miconia albicans,-43.504167,-17.063333,1
402,Miconia albicans,-42.88944,-16.55944,1
403,Miconia albicans,-41.175833,-16.474722,1
404,Miconia albicans,-39.25,-16.5,1
405,Miconia albicans,-39.202222,-16.419167,1
406,Miconia albicans,-68.1775,-15.3913889,1
407,Miconia albicans,-67.17,-15.5,1
408,Miconia albicans,-62.133,-16.083,1
409,Miconia albicans,-57.253333,-15.773333,1
410,Miconia albicans,-56.25,-16.25,1
411,Miconia albicans,-56.083333,-15.583333,1
412,Miconia albicans,-54.963162,-15.956094,1
413,Miconia albicans,-52.716667,-16.305556,1
414,Miconia albicans,-52.1919444,-15.7838889,1
415,Miconia albicans,-51.03333,-16.38333,1
416,Miconia albicans,-50.191528,-16.081528,1
417,Miconia albicans,-48.863056,-15.907222,1
418,Miconia albicans,-48.163056,-16.246389,1
419,Miconia albicans,-45.919167,-15.408056,1
420,Miconia albicans,-45.116667,-16.35,1
421,Miconia albicans,-42.597222,-15.965277,1
422,Miconia albicans,-40.95903,-16.367828,1
423,Miconia albicans,-40.124444,-15.512778,1
424,Miconia albicans,-39.02444,-16.27833,1
425,Miconia albicans,-68.83888,-14.56555,1
426,Miconia albicans,-67.8230556,-14.6644444,1
427,Miconia albicans,-60.8414,-14.5792,1
428,Miconia albicans,-59.774444,-14.635861,1
429,Miconia albicans,-56.97,-15.1,1
430,Miconia albicans,-55.745,-15.326944,1
431,Miconia albicans,-55.066667,-15.016667,1
432,Miconia albicans,-52.35,-14.666667,1
433,Miconia albicans,-51.014444,-14.810278,1
434,Miconia albicans,-49.2189,-14.4764,1
435,Miconia albicans,-48.119444,-14.443889,1
436,Miconia albicans,-46.58,-14.521667,1
437,Miconia albicans,-46.089667,-14.640611,1
438,Miconia albicans,-44.628889,-14.935833,1
439,Miconia albicans,-42.557778,-14.552778,1
440,Miconia albicans,-41.940278,-15.119722,1
441,Miconia albicans,-40.541667,-14.823611,1
442,Miconia albicans,-39.341667,-15.173611,1
443,Miconia albicans,-39.022778,-14.916944,1
444,Miconia albicans,-68.46666,-14.38333,1
445,Miconia albicans,-62.4872222,-13.6827778,1
446,Miconia albicans,-61.53333,-13.66666,1
447,Miconia albicans,-60.8128,-13.8986,1
